authors,bbox,created,creators,currentVersion,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,modified,path,pid,reprLat,reprLatLong,reprLong,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,TypesOfFeature,continent,country,hasConnectionsWith,connectsWith,DeltaAge,noOfFeaturesBuiltByHuman,natureFeatures
"Euzennat, M., D. R. Talbert, T. Elliott, S. Gillies","-5.997415, 34.308691, -5.997415, 34.308691",2011-03-09T23:05:07Z,M. Euzennat,1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-5.997415, 34.308691]}",darmc-location-17596,precise,representative,300,-30,2012-02-14T22:58:14Z,/places/275719/darmc-location-17596,275719,34.308691,"34.308691,-5.997415",-5.997415,R,roman,"-30.0,300.0",DARMC location 17596,5d124660e8753181023e5e38a5197caf,Water Source,Africa,Egypt,,,400,166,72
"Euzennat, M., D. R. Talbert, T. Elliott, S. Gillies","-5.723152, 34.052133, -5.723152, 34.052133",2011-03-09T22:17:33Z,M. Euzennat,1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-5.723152, 34.052133]}",darmc-location-14727,precise,representative,640,-30,2012-02-14T22:58:14Z,/places/275720/darmc-location-14727,275720,34.052133,"34.052133,-5.723152",-5.723152,RL,"roman,late-antique","-30.0,640.0",DARMC location 14727,1d170b6d6a37d5fe0336407ab3415ef9,Water Source,Unlocated,Unlocated,,,400,,
"Euzennat, M., D. R. Talbert, T. Elliott, S. Gillies","-5.574834, 33.891331, -5.574834, 33.891331",2011-03-09T22:17:35Z,M. Euzennat,1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-5.574834, 33.891331]}",darmc-location-14728,precise,representative,300,-30,2012-02-14T22:58:15Z,/places/275721/darmc-location-14728,275721,33.891331,"33.891331,-5.574834",-5.574834,R,roman,"-30.0,300.0",DARMC location 14728,f41070c5828859bedac94758041c0378,Water Source,Asia,Saudi Arabia,,,400,412,149
"Euzennat, M., D. R. Talbert, T. Elliott, S. Gillies","-5.921704, 34.263614, -5.921704, 34.263614",2011-03-10T01:34:15Z,M. Euzennat,1,Point location,unknown,"{""type"": ""Point"", ""coordinates"": [-5.921704, 34.263614]}",darmc-location-23232,precise,representative,-30,-330,2012-02-14T22:58:15Z,/places/275722/darmc-location-23232,275722,34.263614,"34.263614,-5.921704",-5.921704,H,hellenistic-republican,"-330.0,-30.0",DARMC location 23232,682cb065a017160f32c45d0f085a59b7,Water Source,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-5.5, 35.0, -5.0, 35.5",2010-09-24T20:04:15Z,M. Euzennat,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-5.5, 35.0], [-5.5, 35.5], [-5.0, 35.5], [-5.0, 35.0], [-5.5, 35.0]]]}",batlas-location,rough,representative,300,-30,2012-02-14T22:58:16Z,/places/275723/batlas-location,275723,35.25,"35.25,-5.25",-5.25,R,roman,"-30.0,300.0",Barrington Atlas location,e8e4d47a56d04e8fb45b75a2ddd90f0c,Water Source,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-6.0, 35.5, -5.5, 36.0",2010-09-24T20:04:18Z,M. Euzennat,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-6.0, 35.5], [-6.0, 36.0], [-5.5, 36.0], [-5.5, 35.5], [-6.0, 35.5]]]}",batlas-location,rough,representative,,,2018-06-07T20:58:57Z,/places/275724/batlas-location,275724,35.75,"35.75,-5.75",-5.75,,,,Barrington Atlas location,acc527b15965df392d57ee1e2198468e,Water Source,Asia,Jordan,,,400,412,149
"Becker, J., R. Horne","-5.9236482, 35.7910308, -5.9236482, 35.7910308",2017-06-23T16:37:42Z,jbecker,2,Representative location based on OpenStreetMap.,cape,"{""type"": ""Point"", ""coordinates"": [-5.9236482, 35.7910308]}",osm-location-of-modern-cap-spartel-lighthouse,precise,representative,2100,1700,2018-06-07T20:58:57Z,/places/275724/osm-location-of-modern-cap-spartel-lighthouse,275724,35.7910308,"35.7910308,-5.9236482",-5.9236482,M,modern,"1700.0,2100.0",OSM location of Cap Spartel,15605d78e47445a0976fca8ca369bc55,Water Source,Asia,Jordan,,,400,412,149
"Euzennat, M., D. R. Talbert, T. Elliott, S. Gillies","-5.998299, 34.686239, -5.998299, 34.686239",2011-03-09T22:20:37Z,M. Euzennat,1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-5.998299, 34.686239]}",darmc-location-14834,precise,representative,300,-30,2012-02-14T22:58:18Z,/places/275725/darmc-location-14834,275725,34.686239,"34.686239,-5.998299",-5.998299,R,roman,"-30.0,300.0",DARMC location 14834,d580318c7d76497c7317699241fd7036,Water Source,Asia,Jordan,,,400,412,149
"Euzennat, M., D. R. Talbert, T. Elliott, S. Gillies","-5.929456, 34.459469, -5.929456, 34.459469",2011-08-02T20:32:19Z,M. Euzennat,1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-5.929456, 34.459469]}",darmc-location-24833,precise,representative,300,-30,2012-02-14T22:58:18Z,/places/275726/darmc-location-24833,275726,34.459469,"34.459469,-5.929456",-5.929456,R,roman,"-30.0,300.0",DARMC location 24833,0307b61cf117f21a2936b492ca625436,Landform,Unlocated,Unlocated,,,400,,
"Becker, J., T. Elliott","-6.6484666, 33.7262476, -4.5201326, 34.6176952",2019-09-03T19:40:43Z,"jbecker, thomase",1,Location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[-4.5234149, 33.7262476], [-6.6484666, 34.271297], [-6.6209419, 34.3015933], [-6.6186054, 34.3040986], [-6.4246635, 34.4857274], [-6.3631702, 34.5365159], [-6.3627112, 34.536858], [-6.1336361, 34.6175261], [-6.131, 34.6176952], [-5.9204654, 34.5760063], [-4.9591402, 34.2906935], [-4.8920206, 34.2572161], [-4.8880724, 34.2542366], [-4.6277068, 33.9080747], [-4.5201326, 33.7273004], [-4.5226683, 33.7264223], [-4.5234149, 33.7262476]]]}",osm-location-of-modern-oued-sebou,precise,representative,,,2019-09-03T19:41:24Z,/places/275727/osm-location-of-modern-oued-sebou,275727,34.31235506,"34.312355056,-5.57780720523",-5.577807205,,,,OSM Location of modern Oued Sebou,91e5086c01604d54af630ab85c0070a9,Landform,Africa,Egypt,,,400,166,72
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-5.5, 35.0, -5.0, 35.5",2010-09-24T20:04:27Z,M. Euzennat,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-5.5, 35.0], [-5.5, 35.5], [-5.0, 35.5], [-5.0, 35.0], [-5.5, 35.0]]]}",batlas-location,rough,representative,,,2012-02-14T22:58:20Z,/places/275730/batlas-location,275730,35.25,"35.25,-5.25",-5.25,,,,Barrington Atlas location,4d6a2cb48005904a22ca512c6f7600fb,Landform,Asia,Israel,,,400,412,149
"Becker, J.","-5.4101103, 35.5623508, -5.4101103, 35.5623508",2013-10-27T03:32:16Z,jbecker,2,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [-5.4101103, 35.5623508]}",location-of-Tamuda-fl,precise,representative,2100,1700,2014-02-23T04:42:02Z,/places/275733/location-of-Tamuda-fl,275733,35.5623508,"35.5623508,-5.4101103",-5.4101103,M,modern,"1700.0,2100.0",location of Oud Martil (river),2d77707c1bb2f8ec3cb65ad6f8979002,Landform,Africa,Egypt,"478,972,356,632,192,000",,400,166,72
"Euzennat, M., D. R. Talbert, T. Elliott, S. Gillies","-6.490176, 34.335111, -6.490176, 34.335111",2011-03-09T20:04:51Z,M. Euzennat,1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-6.490176, 34.335111]}",darmc-location-8360,precise,representative,300,-30,2012-02-14T22:58:23Z,/places/275734/darmc-location-8360,275734,34.335111,"34.335111,-6.490176",-6.490176,R,roman,"-30.0,300.0",DARMC location 8360,165ac30b6dd08a45b02bb52b8cbab99e,Landform,Africa,Egypt,,,400,166,72
"Ã…hlfeldt, J.","-6.490782, 34.334817, -6.490782, 34.334817",2012-10-20T19:14:17Z,jahlfeldt,0,"Representative point location, site precision",fort,"{""type"": ""Point"", ""coordinates"": [-6.490782, 34.334817]}",dare-location,precise,representative,300,-30,2012-10-20T19:14:19Z,/places/275734/dare-location,275734,34.334817,"34.334817,-6.490782",-6.490782,R,roman,"-30.0,300.0",DARE Location,e47d6c139d0b66a597bfc3bc64214f85,Landform,Asia,Syria,,,400,412,149
"Euzennat, M., D. R. Talbert, T. Elliott, S. Gillies","-5.810048, 35.787924, -5.810048, 35.787924",2011-03-09T22:30:50Z,M. Euzennat,1,1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,"{""type"": ""Point"", ""coordinates"": [-5.810048, 35.787924]}",darmc-location-15187,precise,representative,640,-550,2018-06-08T00:35:47Z,/places/275736/darmc-location-15187,275736,35.787924,"35.787924,-5.810048",-5.810048,CHRL,"classical,hellenistic-republican,roman,late-antique","-550.0,640.0",DARMC location 15187,1f0a45b66ade35a9f30f31c3e3e36368,Water Source,Africa,Egypt,,,400,166,72
"Ã…hlfeldt, J.","-5.810419, 35.787168, -5.810419, 35.787168",2012-10-20T19:14:20Z,jahlfeldt,0,"Representative point location, village precision",settlement,"{""type"": ""Point"", ""coordinates"": [-5.810419, 35.787168]}",dare-location,precise,representative,640,-550,2018-06-08T00:35:47Z,/places/275736/dare-location,275736,35.787168,"35.787168,-5.810419",-5.810419,CHRL,"classical,hellenistic-republican,roman,late-antique","-550.0,640.0",DARE Location,41b4aa2fc3e6bb3c19c768b50301e298,Landform,Unlocated,Unlocated,,,400,,
"Luc PIROUX, J., J. Becker, S. Gillies","-5.5548, 34.0725, -5.5548, 34.0725",2011-11-15T22:20:37Z,jlpiroux,2,coordinates after GeoHack.,"settlement,","{""type"": ""Point"", ""coordinates"": [-5.5548, 34.0725]}",center-point-of-visible-remains-volubilis,precise,representative,640,-330,2020-06-19T17:08:18Z,/places/275740/center-point-of-visible-remains-volubilis,275740,34.0725,"34.0725,-5.5548",-5.5548,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",Center point of visible remains,c3fa6ef13fbd6340cc47fa44ce746558,Landform,Africa,Egypt,,,400,166,72
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-6.0, 34.5, -5.5, 35.0",2010-09-24T20:04:42Z,M. Euzennat,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-6.0, 34.5], [-6.0, 35.0], [-5.5, 35.0], [-5.5, 34.5], [-6.0, 34.5]]]}",batlas-location,rough,representative,300,-30,2012-02-14T22:58:29Z,/places/275742/batlas-location,275742,34.75,"34.75,-5.75",-5.75,R,roman,"-30.0,300.0",Barrington Atlas location,289031e84092fe854a6952791abf08df,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-7.0, 33.0, -4.0, 36.5",2010-09-24T20:04:49Z,M. Euzennat,1,Roughly located within a bounding box,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-7.0, 33.0], [-7.0, 36.5], [-4.0, 36.5], [-4.0, 33.0], [-7.0, 33.0]]]}",batlas-location,rough,representative,640,-30,2012-02-14T22:58:32Z,/places/277088/batlas-location,277088,34.75,"34.75,-5.5",-5.5,RL,"roman,late-antique","-30.0,640.0",Barrington Atlas location,18719a190347c5050f2d52558d38cbbe,Water Source,Europe,Greece,,,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-7.0, 33.0, -4.0, 36.5",2010-09-24T20:04:50Z,M. Euzennat,1,Roughly located within a bounding box,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-7.0, 33.0], [-7.0, 36.5], [-4.0, 36.5], [-4.0, 33.0], [-7.0, 33.0]]]}",batlas-location,rough,representative,640,-30,2012-02-14T22:58:32Z,/places/277089/batlas-location,277089,34.75,"34.75,-5.5",-5.5,RL,"roman,late-antique","-30.0,640.0",Barrington Atlas location,5d7aa06a7c621f0da2fdd595bd5f3aa1,Water Source,Unlocated,Unlocated,,590074,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-7.0, 33.0, -4.0, 36.5",2010-09-24T20:04:51Z,M. Euzennat,1,Roughly located within a bounding box,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-7.0, 33.0], [-7.0, 36.5], [-4.0, 36.5], [-4.0, 33.0], [-7.0, 33.0]]]}",batlas-location,rough,representative,640,-30,2012-02-14T22:58:33Z,/places/277090/batlas-location,277090,34.75,"34.75,-5.5",-5.5,RL,"roman,late-antique","-30.0,640.0",Barrington Atlas location,60015b9590f2d8f77e6dd3ecd6423980,Landform,Europe,Greece,,589748,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-7.0, 33.0, -4.0, 36.5",2010-09-24T20:04:53Z,M. Euzennat,1,Roughly located within a bounding box,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-7.0, 33.0], [-7.0, 36.5], [-4.0, 36.5], [-4.0, 33.0], [-7.0, 33.0]]]}",batlas-location,rough,representative,640,-30,2012-02-14T22:58:33Z,/places/277092/batlas-location,277092,34.75,"34.75,-5.5",-5.5,RL,"roman,late-antique","-30.0,640.0",Barrington Atlas location,fdce4af50baac9424993f9ea4570ace3,Water Source,Europe,Greece,,590067,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-6.0, 35.5, -5.5, 36.0",2010-09-24T20:05:01Z,M. Euzennat,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-6.0, 35.5], [-6.0, 36.0], [-5.5, 36.0], [-5.5, 35.5], [-6.0, 35.5]]]}",batlas-location,rough,representative,300,-30,2012-02-14T22:58:36Z,/places/277844/batlas-location,277844,35.75,"35.75,-5.75",-5.75,R,roman,"-30.0,300.0",Barrington Atlas location,6e0393c5307c06b1ae38b1887b384ba7,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-6.0, 35.5, -5.5, 36.0",2010-09-24T20:05:02Z,M. Euzennat,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-6.0, 35.5], [-6.0, 36.0], [-5.5, 36.0], [-5.5, 35.5], [-6.0, 35.5]]]}",batlas-location,rough,representative,300,-30,2012-02-14T22:58:36Z,/places/277845/batlas-location,277845,35.75,"35.75,-5.75",-5.75,R,roman,"-30.0,300.0",Barrington Atlas location,82eeba135cdaa2511fe455be193040ff,Landform,Europe,Greece,,,400,1523,535
"Euzennat, M., D. R. Talbert, T. Elliott, S. Gillies","-5.390233, 35.555497, -5.390233, 35.555497",2011-08-04T21:19:56Z,M. Euzennat,1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-5.390233, 35.555497]}",darmc-location-27119,precise,representative,300,-30,2012-02-14T22:58:36Z,/places/277846/darmc-location-27119,277846,35.555497,"35.555497,-5.390233",-5.390233,R,roman,"-30.0,300.0",DARMC location 27119,dd71828448981669b176373f714a0827,Landform,Europe,Greece,,599973,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-6.5, 35.0, -6.0, 35.5",2010-09-24T20:05:07Z,M. Euzennat,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-6.5, 35.0], [-6.5, 35.5], [-6.0, 35.5], [-6.0, 35.0], [-6.5, 35.0]]]}",batlas-location,rough,representative,640,-30,2012-02-14T22:58:37Z,/places/277847/batlas-location,277847,35.25,"35.25,-6.25",-6.25,RL,"roman,late-antique","-30.0,640.0",Barrington Atlas location,7a3437c46f27a515564599bd41b71526,Water Source,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-6.0, 34.5, -5.5, 35.0",2010-09-24T20:05:08Z,M. Euzennat,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-6.0, 34.5], [-6.0, 35.0], [-5.5, 35.0], [-5.5, 34.5], [-6.0, 34.5]]]}",batlas-location,rough,representative,300,-30,2012-02-14T22:58:37Z,/places/277848/batlas-location,277848,34.75,"34.75,-5.75",-5.75,R,roman,"-30.0,300.0",Barrington Atlas location,60cf32017541ea72fecfc003aa5f6c8a,Landform,Europe,Greece,,,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies","-6.0, 34.0, -5.5, 34.5",2010-09-24T20:05:12Z,M. Euzennat,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-6.0, 34.0], [-6.0, 34.5], [-5.5, 34.5], [-5.5, 34.0], [-6.0, 34.0]]]}",batlas-location,rough,representative,300,-330,2012-02-14T22:58:38Z,/places/277851/batlas-location,277851,34.25,"34.25,-5.75",-5.75,HR,"hellenistic-republican,roman","-330.0,300.0",Barrington Atlas location,bce2f5ef2c9d5445410da11d303b0b5d,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., D. R. Talbert, T. Elliott, S. Gillies","-5.520285, 33.998055, -5.520285, 33.998055",2011-08-04T21:20:43Z,M. Euzennat,1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-5.520285, 33.998055]}",darmc-location-16186,precise,representative,300,-30,2012-02-14T22:58:38Z,/places/277852/darmc-location-16186,277852,33.998055,"33.998055,-5.520285",-5.520285,R,roman,"-30.0,300.0",DARMC location 16186,28108e31db2bb7aa6a825dccc1b7c5b0,Landform,Europe,Cyprus,,,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:00:42Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,-30,-330,2017-10-27T20:21:42Z,/places/278599/batlas-location,278599,,,,H,hellenistic-republican,"-330.0,-30.0",Barrington Atlas location,f5f0d4bb0c0a96873f95f67b0f0745e1,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:00:43Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,-330,-750,2012-02-14T22:58:42Z,/places/278600/batlas-location,278600,,,,AC,"archaic,classical","-750.0,-330.0",Barrington Atlas location,80c5ecd65372ed00f649fd59b0304f7a,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:00:45Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,640,-30,2012-02-14T22:58:42Z,/places/278602/batlas-location,278602,,,,RL,"roman,late-antique","-30.0,640.0",Barrington Atlas location,583bcb151734c41a301dda363a5a6026,Landform,Europe,Greece,,,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:00:48Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,300,-30,2012-02-14T22:58:43Z,/places/278605/batlas-location,278605,,,,R,roman,"-30.0,300.0",Barrington Atlas location,50f472f45b4570ccbc5fd84a429cf12b,Landform,Europe,Greece,,,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:00:49Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,640,300,2012-02-14T22:58:44Z,/places/278607/batlas-location,278607,,,,L,late-antique,"300.0,640.0",Barrington Atlas location,e869936df2f5e6ab89aaa8fc0901aceb,Landform,Europe,Greece,,,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:00:51Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,300,-330,2012-02-14T22:58:44Z,/places/278609/batlas-location,278609,,,,HR,"hellenistic-republican,roman","-330.0,300.0",Barrington Atlas location,a777750e6ad3e4f022041ee2b90cf8d6,Landform,Europe,Cyprus,,599872,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:00:53Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,300,-330,2012-02-14T22:58:45Z,/places/278611/batlas-location,278611,,,,HR,"hellenistic-republican,roman","-330.0,300.0",Barrington Atlas location,72bf533f7eb25b0cb201fbd063390c38,Landform,Unlocated,Unlocated,"971,693,971,886,971,000",442241741,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:00:54Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,640,-30,2012-02-14T22:58:46Z,/places/278612/batlas-location,278612,,,,RL,"roman,late-antique","-30.0,640.0",Barrington Atlas location,4d18e6c471033f8ba445f7dfcdd50443,Water Source,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:00:57Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,,,2012-02-14T22:58:47Z,/places/278615/batlas-location,278615,,,,,,,Barrington Atlas location,814a38f991bfc9a2df01caf127ded381,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:00:59Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,-330,-750,2012-02-14T22:58:48Z,/places/278617/batlas-location,278617,,,,AC,"archaic,classical","-750.0,-330.0",Barrington Atlas location,066f08db8cdb534447055db96a24f894,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:01:02Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,300,-30,2012-02-14T22:58:49Z,/places/278621/batlas-location,278621,,,,R,roman,"-30.0,300.0",Barrington Atlas location,90e13917d39b3963ddc431690bce5e81,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:01:05Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,640,300,2012-02-14T22:58:49Z,/places/278622/batlas-location,278622,,,,L,late-antique,"300.0,640.0",Barrington Atlas location,acd48aefc3bf6ca5eadebb8210e16fe4,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:01:07Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,640,300,2012-02-14T22:58:50Z,/places/278623/batlas-location,278623,,,,L,late-antique,"300.0,640.0",Barrington Atlas location,f2427e0367516f1e2883ef78a02155d4,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:01:09Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,-330,-750,2012-02-14T22:58:51Z,/places/278624/batlas-location,278624,,,,AC,"archaic,classical","-750.0,-330.0",Barrington Atlas location,73ddfe58274a14c69a06b6ba75011cd3,Landform,Asia,Turkey,,,400,412,149
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:01:10Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,,,2012-02-14T22:58:52Z,/places/278625/batlas-location,278625,,,,,,,Barrington Atlas location,2ddab4e29fedf6e48242f1773ebb4d3e,Landform,Asia,Pakistan,,,400,412,149
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:01:12Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,300,-30,2012-02-14T22:58:52Z,/places/278627/batlas-location,278627,,,,R,roman,"-30.0,300.0",Barrington Atlas location,39cba0365e36de66dcd526321a867c01,Landform,Europe,Greece,"599,996,599,560,599,000,000,000","560,221,599,944",400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:01:13Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,300,-30,2012-02-14T22:58:53Z,/places/278629/batlas-location,278629,,,,R,roman,"-30.0,300.0",Barrington Atlas location,e98720ac9e29bd274cc77dec18f961d7,Landform,Europe,Greece,,,400,1523,535
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:01:16Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,-330,-550,2012-02-14T22:58:54Z,/places/278632/batlas-location,278632,,,,C,classical,"-550.0,-330.0",Barrington Atlas location,0994cd8c59cf18101ed0fbe08d09efd2,Water Source,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:01:18Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,300,-30,2012-02-14T22:58:54Z,/places/278633/batlas-location,278633,,,,R,roman,"-30.0,300.0",Barrington Atlas location,5bee86e2fe16dcad17a460edc726f546,Landform,Unlocated,Unlocated,,,400,,
"Euzennat, M., R. Warner, R. Talbert, T. Elliott, S. Gillies",,2010-09-24T20:01:20Z,M. Euzennat,0,,unknown,,batlas-location,unlocated,representative,300,-30,2012-02-14T22:58:55Z,/places/278634/batlas-location,278634,,,,R,roman,"-30.0,300.0",Barrington Atlas location,17a31c6b35da91a2cb179215d8452dd6,Landform,Europe,Greece,,560221,400,1523,535
"Potter, T., D. R. Talbert, T. Elliott, S. Gillies","-0.957499, 35.3826, -0.957499, 35.3826",2011-03-09T20:23:56Z,T.W. Potter,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-0.957499, 35.3826]}",darmc-location-9769,precise,representative,640,-30,2012-02-14T22:58:55Z,/places/285392/darmc-location-9769,285392,35.3826,"35.3826,-0.957499",-0.957499,RL,"roman,late-antique","-30.0,640.0",DARMC location 9769,c33b792fdf10cf269355691ab9ddc702,Landform,Europe,Greece,,,400,1523,535
"Potter, T., D. R. Talbert, T. Elliott, S. Gillies","-1.858203, 35.101893, -1.858203, 35.101893",2011-03-09T20:23:58Z,T.W. Potter,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-1.858203, 35.101893]}",darmc-location-9770,precise,representative,300,-30,2012-02-14T22:58:56Z,/places/285393/darmc-location-9770,285393,35.101893,"35.101893,-1.858203",-1.858203,R,roman,"-30.0,300.0",DARMC location 9770,b4043ebf63c9396b9bca96508f568053,Landform,Europe,Greece,,599808,400,1523,535
"Potter, T., D. R. Talbert, T. Elliott, S. Gillies","1.369109, 33.907941, 1.369109, 33.907941",2011-03-09T22:44:08Z,T.W. Potter,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [1.369109, 33.907941]}",darmc-location-15696,precise,representative,300,-30,2012-02-14T22:58:57Z,/places/285395/darmc-location-15696,285395,33.907941,"33.907941,1.369109",1.369109,R,roman,"-30.0,300.0",DARMC location 15696,f3f7b2d151f5f074cbe33036a54419ea,Landform,Unlocated,Unlocated,,,400,,
"Potter, T., D. R. Talbert, T. Elliott, S. Gillies","0.470283, 34.985836, 0.470283, 34.985836",2011-03-09T19:31:00Z,T.W. Potter,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [0.470283, 34.985836]}",darmc-location-6580,precise,representative,300,-30,2012-02-14T22:58:57Z,/places/285396/darmc-location-6580,285396,34.985836,"34.985836,0.470283",0.470283,R,roman,"-30.0,300.0",DARMC location 6580,2b5bd62846ec2ceced8e4549a83a637a,Landform,Unlocated,Unlocated,,,400,,
