description,featureType,locationPrecision,locationType,TypesOfFeature,country,noOfFeaturesBuiltByHuman,natureFeatures,continent,eras,deltaAge,reprLat,reprLong,minDate,maxDate
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Forts,Italy,1523,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,300,,,-330,-30
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,Italy,1523,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Italy,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,"Small comunities,Forts",Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Water Source,France,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural Construction,Spain,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,,,-30,640
,unknown,unlocated,representative,Small comunities,Spain,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Big Community,Spain,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Forts,Spain,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Big community ,France,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Forts,France,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,"Water Source,Landform",France,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,United Kingdom,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural Construction,United Kingdom,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Construction,Iraq,412,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Complex Architecure,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural construction,Unlocated,,,Africa,Classical Era,670,,,-30,640
,unknown,unlocated,representative,Forts,France,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural construction,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Forts,France,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural Construction,France,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural Construction,Germany,1523,,Africa,Classical Era,670,,,-30,640
,unknown,unlocated,representative,Forts,Unlocated,,,Africa,Classical Era,670,,,-30,640
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,,0,,,,
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,,,-30,640
,unknown,unlocated,representative,Big community ,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Water Source,Unlocated,,,Africa,Classical Era,300,,,-330,-30
coordinates after GeoHack.,"river,",precise,representative,Cultural Construction,Iran,412,,Europe,Early Modern Era,400,45.134444,9.881667,1700,2100
500K scale point location,unknown,precise,representative,Cultural Construction,United Kingdom,1523,,Europe,Classical Era,670,44.437188,8.8872,-30,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,45.25,7.25,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.25,10.75,-30,640
Representative location based on OpenStreetMap.,"settlement-modern,",precise,,Cultural Construction,Unlocated,,,Europe,Early Modern Era,400,45.4690768,10.605721,1700,2100
500K scale point location,unknown,precise,representative,Complex Architecure,Syria,412,,Europe,Classical Era,670,44.956105,9.865474,-30,640
500K scale point location,unknown,precise,representative,Complex Architecure,Unlocated,,,Europe,Classical Era,670,45.356918,9.322956,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,44.238283,9.491255,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Russia,412,,Europe,Classical Era,670,44.390314,8.643922,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,45.088302,9.5972,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.169874,9.57987,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Italy,1523,,Europe,Classical Era,340,44.317059,9.320172,300,640
500K scale point location,unknown,precise,representative,Cultural Construction,Germany,1523,,Europe,Classical Era,670,44.830006,10.211566,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Italy,1523,,Europe,Classical Era,670,45.076064,7.507533,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,45.177939,7.828594,-30,640
500K scale point location,unknown,precise,representative,Forts,Italy,1523,,Europe,Classical Era,670,45.317925,9.139131,-30,640
"coordinates after GeoHack, verified in Google Earth.","river,",precise,representative,"Small comunities,Construction, Complex Architecture",Unlocated,,,Europe,Early Modern Era,400,45.066667,8.9,1700,2100
Location based on OpenStreetMap,"river,",precise,representative,Small comunities,Greece,1523,,Europe,Early Modern Era,400,45.8277536,8.4807005,1700,2100
Location based on OpenStreetMap,"station,",precise,representative,Forts,Unlocated,,,Europe,Classical Era,340,44.3338897,8.5113599,300,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Forts,Unlocated,,,Europe,Classical Era,670,44.700835,8.035244,-30,640
,unknown,rough,representative,Forts,Croatia,1523,,Europe,Classical Era,670,45.25,8.75,-30,640
,unknown,rough,representative,Small comunities,United Kingdom,1523,,Europe,Classical Era,670,45.25,7.75,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,630,45.25,9.25,-330,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.125167,10.824999,-30,640
,unknown,rough,representative,Small comunities,Iran,412,,Europe,Classical Era,670,45.75,9.75,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Iraq,412,,Europe,Classical Era,220,44.203883,9.555623,-550,-330
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Romania,1523,,Europe,Classical Era,670,44.675532,8.470658,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,45.53071,9.405692,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,45.439424,10.692043,-30,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.736788,7.314495,-30,640
"Representative point location, site precision",settlement,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.7381,7.317846,-30,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.070198,7.686563,-30,640
"Representative point location, site precision",settlement,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.073361,7.685433,-30,640
,unknown,rough,representative,Forts,Ukraine,1523,,Europe,Classical Era,670,45.75,9.25,-30,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.129535,10.442348,-30,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,630,45.75,10.75,-330,300
,unknown,rough,representative,Big community ,Unlocated,,,Europe,Classical Era,630,45.75,10.75,-330,300
Location based on OpenStreetMap,lake,precise,representative,Forts,Unlocated,,,Europe,Modern Era ,99,45.63003951,10.68428684,2000,2099
500K scale point location,unknown,precise,representative,Small comunities,Algeria,166,,Europe,Classical Era,670,45.43771,10.727138,-30,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,1190,45.694909,9.669949,-550,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.75,7.75,-30,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,630,44.75,7.25,-330,300
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,44.25,9.75,-30,640
Location based on OpenStreetMap node marking modern administrative center.,settlement-modern,precise,representative,"Cultural Constructions,Complex Architecure",Unlocated,,,Europe,Early Modern Era,400,44.769273,9.3862814,1700,2100
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,44.242543,9.656845,-30,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,630,45.25,8.25,-330,300
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,340,45.820002,10.95627,300,640
500K scale point location,unknown,precise,representative,Cultural Construction,Slovakia,1523,,Europe,Classical Era,670,45.643262,10.872761,-30,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Cultural Construction,Czech Republic,1523,,Europe,Classical Era,670,44.900996,10.515786,-30,640
Representative location based on OpenStreetMap.,"settlement-modern,",precise,,Cultural Construction,Poland,1523,,Europe,Early Modern Era,400,44.899583,10.5147691,1700,2100
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,1190,45.539773,10.223135,-550,640
,unknown,rough,representative,Cultural Construction,Spain,1523,,Europe,Classical Era,670,45.75,9.25,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,340,45.562812,8.058255,300,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,630,44.75,10.75,-330,300
,unknown,rough,representative,Complex Architecure,Unlocated,,,Europe,Classical Era,970,45.75,10.25,-330,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,44.397501,8.277543,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.18293,8.479819,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,45.011441,7.822544,-330,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,The Iron Age,420,45.718711,8.63684,-750,-330
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,630,45.25,9.75,-330,300
Representative location based on OpenStreetMap.,lake,precise,representative,Forts,Unlocated,,,Europe,Early Modern Era,400,45.97102521,8.965627587,1700,2100
500K scale point location,unknown,precise,representative,Big community ,Unlocated,,,Europe,Classical Era,670,45.189906,8.151744,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.94345,10.278604,-30,640
Representative location based on OpenStreetMap,villa,precise,representative,Small comunities,Spain,1523,,Europe,Classical Era,330,45.4732041,10.5381924,-30,300
Representative location based on OpenStreetMap.,"river,",precise,,Small comunities,Spain,1523,,Europe,Early Modern Era,400,44.3228693,9.3472359,1700,2100
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Spain,1523,,Europe,Classical Era,670,45.466604,7.875942,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,44.785652,7.374977,-330,640
,unknown,rough,representative,Construction,Spain,1523,,Europe,Classical Era,670,44.25,10.25,-30,640
"The location of the pre-Roman settlement in the area later called ""Castello"", based on archaeological findings.",unknown,precise,representative,Small comunities,Spain,1523,,Europe,The Iron Age,720,44.405366,8.929235,-750,-30
500K scale point location,unknown,precise,representative,Construction,Unlocated,,,Europe,Classical Era,670,46.069512,10.354438,-30,640
1M scale point location,unknown,precise,representative,Construction,Unlocated,,,Europe,Classical Era,670,46.069519,10.354418,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,630,45.25,8.25,-330,300
Representative location based on OpenStreetMap.,"river,",precise,,Small comunities,Unlocated,,,Europe,Early Modern Era,400,44.5162468,9.0529522,1700,2100
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.","settlement,urban,",precise,representative,Small comunities,Spain,1523,,Europe,Classical Era,1190,45.463746,9.18806,-550,640
,unknown,rough,representative,Cultural Construction,Algeria,166,,Europe,Classical Era,670,44.75,9.25,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.08329,8.444375,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,45.547364,10.823126,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,45.505531,7.999899,-330,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,44.75,7.75,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.25,8.75,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,44.75,8.75,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,340,45.75,10.25,300,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.75,10.25,-30,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,220,,,-550,-330
5M scale point location,unknown,precise,representative,Small comunities,Algeria,166,,Not enough data,Classical Era,330,13.871006,43.376606,-30,300
Representative location based on OpenStreetMap.,"island,",precise,representative,Small comunities,Unlocated,,,Africa,Early Modern Era,400,15.7270542,39.9448966,1700,2100
,unknown,rough,representative,Small comunities,Unlocated,,,Not enough data,Classical Era,630,17.5,42.5,-330,300
,unknown,rough,representative,Small comunities,Unlocated,,,Not enough data,Classical Era,330,12.5,42.5,-30,300
,unknown,rough,representative,Small comunities,Unlocated,,,Not enough data,Classical Era,330,17.5,52.5,-30,300
,unknown,rough,representative,Small comunities,Algeria,166,,Not enough data,Classical Era,330,17.5,42.5,-30,300
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.793247,11.912808,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Algeria,166,,Europe,Classical Era,670,45.413458,12.102889,-30,640
1M scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.885719,12.010244,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Morocco,166,,Europe,Classical Era,670,45.461781,11.720524,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Afghanistan,412,,Europe,Classical Era,670,45.757783,11.000245,-30,640
,unknown,rough,representative,Small comunities,United Arab Emirates,,,Europe,Classical Era,670,44.75,11.25,-30,640
Location based on OpenStreetMap,"island,",precise,representative,Small comunities,Unlocated,,,Asia,Early Modern Era,400,12.4805981,53.9293594,1700,2100
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,44.75,12.25,,
Location based on OpenStreetMap,river,precise,representative,Small comunities,Unlocated,,,Europe,Modern Era ,99,44.99728977,9.965122781,2000,2099
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,45.25,11.75,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.811804,11.014154,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,45.024199,12.227829,-30,640
Representative location based on OpenStreetMap.,"river,",precise,,Small comunities,Unlocated,,,Europe,Early Modern Era,400,44.3799679,11.5880783,1700,2100
Location based on OpenStreetMap,"river,",precise,representative,Water Source,Unlocated,,,Europe,Early Modern Era,400,45.6443526,12.162809,1700,2100
Location based on OpenStreetMap,river,precise,representative,Cultural Construction,Unlocated,,,Europe,Early Modern Era,400,44.4906499,12.0301079,1700,2100
,unknown,rough,representative,Small comunities,Unlocated,,,Not enough data,Classical Era,670,12.5,42.5,-30,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,45.25,11.25,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,970,45.666251,12.242061,-330,640
,unknown,rough,representative,Forts,Unlocated,,,Not enough data,Classical Era,300,17.5,42.5,-330,-30
,unknown,rough,representative,Construction,Unlocated,,,Not enough data,Classical Era,630,17.5,47.5,-330,300
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Forests/Gardens,Unlocated,,,Europe,Classical Era,630,40.035846,26.343963,-330,300
,unknown,rough,representative,Cultural Construction,France,1523,,Europe,Classical Era,330,38.25,27.25,-30,300
500K scale point location,unknown,precise,representative,Cultural Construction,France,1523,,Europe,The Iron Age,1050,39.93652,25.255183,-750,300
500K scale point location,unknown,precise,representative,Construction,France,1523,,Europe,The Iron Age,420,39.174395,26.135684,-750,-330
500K scale point location,unknown,precise,representative,Small comunities,France,1523,,Europe,Classical Era,340,38.393106,27.638875,300,640
500K scale point location,unknown,precise,representative,Construction,Unlocated,,,Europe,Classical Era,330,38.578834,27.498105,-30,300
500K scale point location,unknown,precise,representative,Cultural Construction,France,1523,,Europe,Classical Era,1190,39.240505,26.962332,-550,640
"Location of FoÃ§a, coordinates after Geonames.","settlement-modern,",precise,representative,Cultural Construction,France,1523,,Europe,Early Modern Era,400,38.6703,26.75656,1700,2100
Location based on OpenStreetMap,river,precise,representative,Small comunities,Unlocated,,,Europe,Modern Era ,99,38.68296787,27.55616762,2000,2099
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Construction,France,1523,,Europe,Classical Era,220,38.429149,26.57715,-550,-330
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Construction,Unlocated,,,Europe,The Iron Age,1050,39.461577,26.149028,-750,300
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,220,38.480083,26.415179,-550,-330
,unknown,rough,representative,Small comunities,France,1523,,Europe,Classical Era,630,40.25,26.25,-330,300
Representative location based on OpenStreetMap.,"cape,",precise,,Construction,Unlocated,,,Europe,Early Modern Era,400,39.433013,26.816585,1700,2100
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,38.098071,27.944572,-30,300
representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,670,38.5792,28.267472,-30,640
Location based on OpenStreetMap,"cape,",precise,representative,Construction,Unlocated,,,Europe,Early Modern Era,400,40.0078372,26.1989554,1700,2100
,unknown,rough,representative,Construction,France,1523,,Europe,,0,39.25,25.75,,
Coordinates after BAtlas; verified in Google Earth.,"mountain,",precise,representative,Cultural Construction,France,1523,,Europe,Early Modern Era,400,38.567,27.456,1700,2100
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Europe,The Iron Age,200,39.107795,26.173588,-750,-550
"Representative point location, site precision",settlement,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,38.41905,27.1383,-330,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,39.219774,25.901401,-30,300
Location of SiÄŸacÄ±k according to Geonames.,"settlement,",precise,representative,Small comunities,Iran,412,,Europe,Early Modern Era,400,38.19372,26.78578,1700,2100
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Cultural Construction,Iran,412,,Europe,The Iron Age,1050,39.597431,27.020171,-750,300
500K scale point location,unknown,precise,representative,Construction,Iran,412,,Europe,Classical Era,330,38.323067,26.144497,-30,300
Location based on OpenStreetMap,archaeological-site,precise,representative,Small comunities,Unlocated,,,Europe,,0,38.92007907,27.83620221,,
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,39.25,27,-30,640
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,39.25,27,-30,640
The reported find spot of a Roman milestone.,findspot,precise,representative,Big Community,Unlocated,,,Europe,Classical Era,340,38.622,27.938,300,640
Roughly located within a bounding box,unknown,rough,representative,Construction,Unlocated,,,Europe,Classical Era,670,39.25,27,-30,640
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,39.25,27,-30,640
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,39.25,27,-30,640
Roughly located within a bounding box,unknown,rough,representative,"Construction, Complex Architecture",Unlocated,,,Europe,Classical Era,670,39.25,27,-30,640
Roughly located within a bounding box,unknown,rough,representative,Cultural Construction,Libya,166,,Europe,Classical Era,670,39.25,27,-30,640
Roughly located within a bounding box,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,670,39.25,27,-30,640
,unknown,rough,representative,Cultural Construction,Tunisia,166,,Europe,The Iron Age,420,38.75,27.25,-750,-330
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,,0,,,,
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,The Iron Age,200,,,-750,-550
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,220,,,-550,-330
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,,0,,,,
,unknown,unlocated,representative,Cultural Construction,Unlocated,,,Africa,,0,,,,
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Libya,166,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,300,,,-330,-30
,unknown,unlocated,representative,Small comunities,United Arab Emirates,,,Africa,The Iron Age,200,,,-750,-550
,unknown,unlocated,representative,Small comunities,Spain,1523,,Africa,,0,,,,
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,520,,,-550,-30
"Location of NisÃ­ AntikÃ½thira, coordinates based on GeoNames and verified in Google Earth.",island,precise,representative,Small comunities,Unlocated,,,Africa,Early Modern Era,400,35.8648,23.30814,1700,2100
Representative modern point location based on OpenStreetMap.,"island,",precise,"representative,",Small comunities,Unlocated,,,Africa,Early Modern Era,400,35.8634532,26.2322965,1700,2100
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,,0,37.848694,22.487571,,
500K scale point location,unknown,precise,representative,Cultural Construction,Italy,1523,,Europe,Classical Era,670,36.709481,24.393796,-30,640
,unknown,rough,representative,Small comunities,Italy,1523,,Europe,,0,37.75,22.75,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,37.75,21.75,,
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Landform,Italy,1523,,Europe,The Iron Age,720,37.301493,23.136994,-750,-30
,unknown,rough,representative,Small comunities,Italy,1523,,Europe,,0,36.75,23.75,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,The Iron Age,420,37.25,22.25,-750,-330
,unknown,rough,representative,Small comunities,Italy,1523,,Europe,,0,36.75,22.25,,
verified in Google Earth 2013.,island,precise,representative,Small comunities,Italy,1523,,Europe,Early Modern Era,400,37.516667,23.483333,1700,2100
Location based on OpenStreetMap,"townhouse,settlement",precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,300,38.2081075,16.2368113,-330,-30
Representative location based on OpenStreetMap.,"temple-2,",precise,representative,Construction,Italy,1523,,Europe,Classical Era,220,37.5867781,12.8344372,-550,-330
"Representative imagery location of the archaeological site, verified in Google Earth 2016. Chronology following White 1967.","temple-2,",precise,"representative,",Small comunities,Italy,1523,,Europe,Classical Era,520,37.586763,12.816874,-550,-30
verified in Google Earth 2013,"tomb,",precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,670,41.891389,12.515278,-30,640
Representative location based on OpenStreetMap.,"settlement,",precise,,Cultural Construction,Unlocated,,,Not enough data,The Bronze Age,950,33.4873408,44.7247598,-2950,-2000
Location based on OpenStreetMap,"aqueduct,",precise,"representative,",Forts,Unlocated,,,Europe,Classical Era,330,40.9155746,14.8178402,-30,300
Representative location based on OpenStreetMap,theatre,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,850,40.83245,14.5970837,-550,300
Location based on OpenStreetMap,"amphitheatre,",precise,representative,Construction,Unlocated,,,Europe,Classical Era,330,37.4690557,-5.6495318,-30,300
"Excavations on site of post office at 49 Ben Ami St. revealed Hellenistic remains, including a dedication to Zeus Soter on behalf of Antiochos VII by a courtier (SEG XIX 9094). This inscription was associated with Hellenistic architecture of a temple-like character. Nearby workshops also uncovered.","temple-2,",precise,,Construction,Yemen,412,,Africa,Classical Era,300,32.927364,35.077894,-330,-30
Location based on OpenStreetMap,"river,",precise,representative,Small comunities,Italy,1523,,Not enough data,Early Modern Era,400,46.5494165,47.9993457,1700,2100
,unknown,unlocated,representative,Small comunities,Greece,1523,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,300,,,-330,-30
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,Yemen,412,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Turkey,412,,Africa,Classical Era,330,,,-30,300
,unknown,rough,representative,Construction,Unlocated,,,Europe,Classical Era,340,41.5,33.5,300,640
