,bbox,creators,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,featureTypeRef,connectsWith,geoContext,hasConnectionsWith,DeltaAge,featureTypeRef1
"Landvatter, T., J. Becker","27.3407687, 37.9393204, 27.3407687, 37.9393204",tlandvatter,Representative location based on a node derived from OpenStreetMap.,architecturalcomplex,"{""type"": ""Point"", ""coordinates"": [27.3407687, 37.9393204]}",osm-location-for-library-of-celsus,precise,representative,2100,-30,37.9393204,"37.9393204,27.3407687",27.3407687,,RM,"roman,modern","-30.0,2100.0",OSM Location for Library of Celsus,architecturalcomplex,,5 miles N Farshut,,2130,"architecturalcomplex,"
"Elliott, T., J. Becker","12.4847853, 41.8929384, 12.4847853, 41.8929384",thomase,Location based on OpenStreetMap,arch,"{""type"": ""Point"", ""coordinates"": [12.4847853, 41.8929384]}",osm-location,precise,representative,300,-30,41.8929384,"41.8929384,12.4847853",12.4847853,,R,roman,"-30.0,300.0",OSM Location of Arch of Septimius Severus (northwest corner),arch,,"Banahu, SE Tahta",,330,"arch,"
"Becker, J.","12.4846187, 41.8927289, 12.4848592, 41.8929384",jbecker,Representative location based on OpenStreetMap.,arch,"{""type"": ""Polygon"", ""coordinates"": [[[12.4846926, 41.8927289], [12.4846187, 41.8927692], [12.4846974, 41.8928493], [12.4847853, 41.8929384], [12.4848592, 41.8928981], [12.4846926, 41.8927289]]]}",osm-location-of-arch-of-septimius-severus,precise,representative,640,-30,41.89283373,"41.8928337323,12.4847388665",12.48473887,,RL,"roman,late-antique","-30.0,640.0",OSM location of Arch of Septimius Severus,arch,727172,Akhmim,,670,"arch,"
"Becker, J.","6.2412447, 46.3831955, 6.2412447, 46.3831955",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [6.2412447, 46.3831955]}",location-of-roman-amphitheater,precise,representative,300,-30,46.3831955,"46.3831955,6.2412447",6.2412447,,R,roman,"-30.0,300.0",location of Roman amphitheater,amphitheatre,,el-Hagg' Qandil (el-Tell),,330,"amphitheatre,"
"Becker, J.","6.0301749, 47.2348292, 6.0301749, 47.2348292",jbecker,A square containing architectural remains of the Roman city. Location based on OpenStreetMap.,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [6.0301749, 47.2348292]}",osm-location-of-square-castan,precise,representative,300,-30,47.2348292,"47.2348292,6.0301749",6.0301749,,R,roman,"-30.0,300.0",OSM Location of Square Castan,architecturalcomplex,,Wa'adila?,,330,"architecturalcomplex,"
"Becker, J.","0.7133087, 45.1831921, 0.7133087, 45.1831921",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [0.7133087, 45.1831921]}",location-of-roman-amphitheater,precise,representative,300,-30,45.1831921,"45.1831921,0.7133087",0.7133087,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,Kom Buha,,330,"amphitheatre,"
"Becker, J.","13.8498543, 44.8737007, 13.8498543, 44.8737007",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [13.8498543, 44.8737007]}",roman-amphitheater,precise,representative,300,-30,44.8737007,"44.8737007,13.8498543",13.8498543,,R,roman,"-30.0,300.0",OSM location of Arena Pula (Roman amphitheater),amphitheatre,,Ibshada Bahari,,330,"amphitheatre,"
"Becker, J.","14.0827828, 41.648401, 14.0827828, 41.648401",jbecker,Representative location based on OpenStreetMap.,abbey-church,"{""type"": ""Point"", ""coordinates"": [14.0827828, 41.648401]}",osm-location-of-san-vincenzo-maggiore,precise,representative,1453,640,41.648401,"41.648401,14.0827828",14.0827828,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of San Vincenzo Maggiore,abbey-church,,Sengirg,,813,"abbey-church,"
"Becker, J.","43.3939224, 36.6692648, 43.3952676, 36.6697774",jbecker,Representative location based on OpenStreetMap.,aqueduct,"{""type"": ""Polygon"", ""coordinates"": [[[43.3952176, 36.6692648], [43.3939224, 36.6696762], [43.3939724, 36.6697774], [43.3952676, 36.6693661], [43.3952176, 36.6692648]]]}",osm-location-of-jerwan-aqueduct,precise,representative,-540,-720,36.66952112,"36.6695211182,43.3945950195",43.39459502,,N,neo-assyrian-babylonian-middle-east,"-720.0,-540.0",OSM location of Jerwan Aqueduct,aqueduct,,Dashlut,,180,"aqueduct,"
"Mckee, G., J. Becker","32.5506905, 28.8474343, 32.5506905, 28.8474343",gmckee,Representative location based on OpenStreetMap.,abbey,"{""type"": ""Point"", ""coordinates"": [32.5506905, 28.8474343]}",osm-location-of-saint-paul-monastery,precise,representative,640,300,28.8474343,"28.8474343,32.5506905",32.5506905,,L,late-antique,"300.0,640.0",OSM location of Saint Paul Monastery,abbey,590049,on Siphnos,,340,"abbey,"
"Becker, J.","25.1595012, 35.2362295, 25.1595012, 35.2362295",jbecker,Location based on OpenStreetMap,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [25.1595012, 35.2362295]}",location-of-minoan-palace,precise,representative,-1000,-2000,35.2362295,"35.2362295,25.1595012",25.1595012,,2,2nd-millenium-bce,"-2000.0,-1000.0",location of Minoan palace,architecturalcomplex,599868,on Paros GRE,,1000,"architecturalcomplex,"
"Horne, R.","24.5856283, 35.0063602, 24.5856283, 35.0063602",rmhorne,Location based on OpenStreetMap,"archipelago,","{""type"": ""Point"", ""coordinates"": [24.5856283, 35.0063602]}",osm-way-28555725,precise,representative,2100,1700,35.0063602,"35.0063602,24.5856283",24.5856283,,M,modern,"1700.0,2100.0",Megalo Paximadi,archipelago,599667,on Ikaria GRE,,400,"archipelago,"
"Horne, R.","24.6069848, 35.0054098, 24.6069848, 35.0054098",rmhorne,Location based on OpenStreetMap,"archipelago,","{""type"": ""Point"", ""coordinates"": [24.6069848, 35.0054098]}",osm-way-28555726,precise,representative,2100,1700,35.0054098,"35.0054098,24.6069848",24.6069848,,M,modern,"1700.0,2100.0",Mikro Paximadi,archipelago,,Ince burun,,400,"archipelago,"
"L Wisecup, C., A. Rabinowitz","24.81377, 35.05123, 24.81377, 35.05123",ciarawisecup,"Circular, stone, pit-like structures built into the ground at the edge of the West Court of the Minoan palace at Phaistos.","architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [24.81377, 35.05123]}",the-kouloures-at-phaistos,precise,representative,-1600,-2000,35.05123,"35.05123,24.81377",24.81377,"dare:feature=manmade, pit, well",M,middleminoan,"-2000.0,-1600.0",Kouloures at Phaistos,architecturalcomplex,433073,,,400,"architecturalcomplex,"
"Focht, T., L. Ernest Staine, A. Rabinowitz","24.814575, 35.051127, 24.814575, 35.051127","Thomas Focht, lstaine","The large, rectangular central court of the Minoan palace of Phaistos, which may have been used for ritual events such as bull leaping","architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [24.814575, 35.051127]}",central-court-at-the-palace-at-phaistos,precise,representative,-1600,-2000,35.051127,"35.051127,24.814575",24.814575,Palace,M,middleminoan,"-2000.0,-1600.0",Central Court of the Palace at Phaistos,architecturalcomplex,511268,,,400,"architecturalcomplex,"
"Durusu, M., E. Polanska, T. Elliott","27.704802, 37.303307, 27.704802, 37.303307","mdurusu, Elzbieta Polanska, thomase",Representative point location of visible footprint of acropolis derived from analysis of Google Earth imagery. Dates after BAtlas and Diler 2002.,acropolis,"{""type"": ""Point"", ""coordinates"": [27.704802, 37.303307]}",imagery-location,precise,representative,-30,-2000,37.303307,"37.303307,27.704802",27.704802,,2CH,"2nd-millenium-bce,classical,hellenistic-republican","-2000.0,-30.0",Imagery Location of acropolis of Hydai,acropolis,,"S. Martino, near Campochiaro",,1970,"acropolis,"
"Becker, J.","26.5, 37.566667, 26.5, 37.566667",jbecker,verified in Google Earth 2013.,"archipelago,","{""type"": ""Point"", ""coordinates"": [26.5, 37.566667]}",location-of-korsiai-inss,precise,representative,2100,1700,37.566667,"37.566667,26.5",26.5,,M,modern,"1700.0,2100.0",Imagery location of Korsiai Inss.,archipelago,,Pianura Pontina,435639,400,"archipelago,"
"Becker, J.","25.565, 37.41, 25.565, 37.41",jbecker,based on Barrington Atlas. ,"archipelago,","{""type"": ""Point"", ""coordinates"": [25.565, 37.41]}",location-of-melanteioi-skopeloi,precise,representative,2100,1700,37.41,"37.41,25.565",25.565,,M,modern,"1700.0,2100.0",location of Melanteioi Skopeloi,archipelago,"702,604,147,356,966,000,000,000,000",Terracina,"436,399,433,379,867,000,000,000,000,000",400,"archipelago,"
"Becker, J., T. Elliott","1.3256286, 51.2888294, 1.3282035, 51.2908604","jbecker, thomase",Location based on OpenStreetMap,amphitheatre,"{""type"": ""Polygon"", ""coordinates"": [[[1.327013, 51.2888294], [1.3264333, 51.28923], [1.3257037, 51.2899345], [1.3256286, 51.290317], [1.3258754, 51.2905317], [1.3262187, 51.290733], [1.3265513, 51.2908202], [1.3269375, 51.2908604], [1.3272701, 51.2907195], [1.3275598, 51.2905518], [1.3278495, 51.2902901], [1.3282035, 51.2897399], [1.3277207, 51.2891159], [1.3274047, 51.2889208], [1.327013, 51.2888294]]]}",osm-location-of-richborough-roman-amphitheater,precise,representative,499,200,51.2899026,"51.2899026024,1.32691483355",1.326914834,,TFF,"third-ce,fourth-ce,fifth-ce","200.0,499.0",OSM Location of Richborough Roman Amphitheater,amphitheatre,,near Sulmo,,299,"amphitheatre,"
"Becker, J.","14.3464728, 40.8052136, 14.3467801, 40.8054498",jbecker,Representative location based on OpenStreetMap.,"architecturalcomplex,","{""type"": ""Polygon"", ""coordinates"": [[[14.3466514, 40.8052136], [14.3464728, 40.8053598], [14.3466015, 40.8054498], [14.3467801, 40.8053037], [14.3466514, 40.8052136]]]}",osm-location-of-terrace-of-nonius-balbus,precise,representative,300,-330,40.80531316,"40.8053131635,14.3466491206",14.34664912,,HR,"hellenistic-republican,roman","-330.0,300.0",OSM location of Terrace of Nonius Balbus,architecturalcomplex,,vanished people,,630,"architecturalcomplex,"
"Elliott, T.","4.8298238, 45.77038, 4.8308302, 45.7709644",thomase,Location based on OpenStreetMap,amphitheatre,"{""type"": ""Polygon"", ""coordinates"": [[[4.8306945, 45.77038], [4.8304457, 45.7703829], [4.8301098, 45.7703869], [4.8298321, 45.7705338], [4.8298238, 45.7705587], [4.8300645, 45.7709644], [4.8302554, 45.770948], [4.8306531, 45.7708589], [4.8307616, 45.7708108], [4.8308302, 45.7707513], [4.8308276, 45.7706226], [4.8308224, 45.7704153], [4.8306945, 45.77038]]]}",osm-location-of-the-amphitheater,precise,representative,300,-30,45.77063013,"45.7706301255,4.83033505241",4.830335052,,R,roman,"-30.0,300.0",OSM Location of the Amphitheater,amphitheatre,,Nola,,330,"amphitheatre,"
"Becker, J.","14.162616, 42.3446312, 14.162616, 42.3446312",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [14.162616, 42.3446312]}",location-of-roman-amphitheater,precise,representative,300,-30,42.3446312,"42.3446312,14.162616",14.162616,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,at Tibur,,330,"amphitheatre,"
"Becker, J.","9.2214076, 36.4217937, 9.2214076, 36.4217937",jbecker,Location based on OpenStreetMap,"arch,","{""type"": ""Point"", ""coordinates"": [9.2214076, 36.4217937]}",osm-location-of-arch-of-septimius-severus,precise,representative,300,-30,36.4217937,"36.4217937,9.2214076",9.2214076,,R,roman,"-30.0,300.0",OSM Location of Arch of Septimius Severus,arch,,,,330,"arch,"
"Becker, J.","8.2133218, 47.4767142, 8.2133218, 47.4767142",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [8.2133218, 47.4767142]}",osm-location-of-roman-amphitheater,precise,representative,300,-30,47.4767142,"47.4767142,8.2133218",8.2133218,,R,roman,"-30.0,300.0",OSM Location of Roman amphitheater,amphitheatre,,Barrington Atlas grid 44 Unlocated,,330,"amphitheatre,"
"Becker, J.","13.4695001, 43.1068367, 13.4695001, 43.1068367",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [13.4695001, 43.1068367]}",location-of-roman-amphitheater,precise,representative,300,-30,43.1068367,"43.1068367,13.4695001",13.4695001,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,432900,near Algidus M.,,330,"amphitheatre,"
"Rumora, R., J. Becker","29.896944, 31.181944, 29.896944, 31.181944",rrumora,The Serapeum in Alexandria was a temple to Serapis erected by Ptolemy III in the 3rd century BCE. It was destroyed in 391 AD.,"architecturalcomplex,temple-2,","{""type"": ""Point"", ""coordinates"": [29.896944, 31.181944]}",center-of-the-visible-remains-of-the-serapeum,precise,central_point,300,-330,31.181944,"31.181944,29.896944",29.896944,place,HR,"hellenistic-republican,roman","-330.0,300.0",Center of the visible remains of the Serapeum,"architecturalcomplex,temple-2",,Barrington Atlas grid 44 Unlocated,,630,"architecturalcomplex,temple-2,"
"Becker, J.","26.514316, 39.1257475, 26.5152232, 39.1263965",jbecker,Representative location based on OpenStreetMap.,aqueduct,"{""type"": ""Polygon"", ""coordinates"": [[[26.515171, 39.1257475], [26.514316, 39.1263521], [26.5143682, 39.1263965], [26.5152232, 39.1257919], [26.515171, 39.1257475]]]}",osm-location-of-roman-aqueduct,precise,representative,300,-30,39.126072,"39.126072,26.5147696",26.5147696,,R,roman,"-30.0,300.0",OSM location of Roman Aqueduct,aqueduct,422958,Barrington Atlas grid 44 Unlocated,,330,"aqueduct,"
"Becker, J.","1.2952379, 47.3290448, 1.2952379, 47.3290448",jbecker,Representative location based on OpenStreetMap.,architecturalcomplex,"{""type"": ""Point"", ""coordinates"": [1.2952379, 47.3290448]}",archaeological-area-of-mazelles,precise,representative,300,-30,47.3290448,"47.3290448,1.2952379",1.2952379,,R,roman,"-30.0,300.0",OSM location of Ruines Romaines de Mazelles,architecturalcomplex,,near Larinum; Sicalenum?,,330,"architecturalcomplex,"
"Becker, J.","26.9300075, 37.6946491, 26.9300075, 37.6946491",jbecker,Representative location based on OpenStreetMap,aqueduct,"{""type"": ""Point"", ""coordinates"": [26.9300075, 37.6946491]}",osm-location-of-tunnel-of-eupalinos,precise,representative,-330,-750,37.6946491,"37.6946491,26.9300075",26.9300075,,AC,"archaic,classical","-750.0,-330.0",OSM location of Tunnel of Eupalinos,aqueduct,,Samnium,,420,"aqueduct,"
"Becker, J.","12.7370897, 42.7334005, 12.7370897, 42.7334005",jbecker,Location based on OpenStreetMap,"arch,","{""type"": ""Point"", ""coordinates"": [12.7370897, 42.7334005]}",osm-location-of-roman-arch,precise,representative,300,-30,42.7334005,"42.7334005,12.7370897",12.7370897,,R,roman,"-30.0,300.0",OSM location of Roman arch,arch,,S Rome,,330,"arch,"
"Becker, J.","-3.6899472, 36.7361595, -3.6899472, 36.7361595",jbecker,Representative location based on OpenStreetMap,aqueduct,"{""type"": ""Point"", ""coordinates"": [-3.6899472, 36.7361595]}",location-of-aqueduct,precise,representative,300,-30,36.7361595,"36.7361595,-3.6899472",-3.6899472,,R,roman,"-30.0,300.0",OSM location of aqueduct,aqueduct,,Barrington Atlas grid 44 Unlocated,,330,"aqueduct,"
"Becker, J.","2.4457372, 36.5933693, 2.4457372, 36.5933693",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [2.4457372, 36.5933693]}",location-of-roman-amphitheater,precise,representative,300,-30,36.5933693,"36.5933693,2.4457372",2.4457372,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,near Molara,,330,"amphitheatre,"
"Becker, J.","14.7735856, 41.1310723, 14.7735856, 41.1310723",jbecker,Representative location based on OpenStreetMap.,"arch,","{""type"": ""Point"", ""coordinates"": [14.7735856, 41.1310723]}",location-of-arco-del-sacramento,precise,representative,1453,-30,41.1310723,"41.1310723,14.7735856",14.7735856,,RM,"roman-early-empire-late-antique,mediaeval-byzantine","-30.0,1453.0",OSM location of Arco del Sacramento,arch,422958,near Empulum,,1483,"arch,"
"Varveri, A., J. Becker","14.4841098, 40.7532166, 14.4841098, 40.7532166",avarveri,Representative location based on OpenStreetMap.,aqueduct,"{""type"": ""Point"", ""coordinates"": [14.4841098, 40.7532166]}",castellum-aquae,precise,representative,300,-30,40.7532166,"40.7532166,14.4841098",14.4841098,,R,roman,"-30.0,300.0",OSM location of so-called Castellum aquae,aqueduct,,Campania,,330,"aqueduct,"
"Becker, J.","52.5385879, 28.8975022, 52.539791, 28.8985733",jbecker,Representative location based on OpenStreetMap.,architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[52.5389846, 28.8975022], [52.5385879, 28.8978336], [52.5393944, 28.8985733], [52.539791, 28.898242], [52.5389846, 28.8975022]]]}",osm-location-of-palace-of-ardeshir-babakan,precise,representative,550,-30,28.89803776,"28.8980377591,52.539189457",52.53918946,,RL,"roman,late-antiquity-in-central-asia","-30.0,550.0",OSM location of Palace of Ardeshir Babakan,architecturalcomplex,,at Valle dâ€™Ansanto,,580,"architecturalcomplex,"
"Becker, J.","12.5145971, 41.8909261, 12.5145971, 41.8909261",jbecker,Extant remains of above ground portions of the aqueduct. Location based on OpenStreetMap and verified in Google Earth.,"aqueduct,","{""type"": ""Point"", ""coordinates"": [12.5145971, 41.8909261]}",location-of-aqua-appia,precise,representative,640,-330,41.8909261,"41.8909261,12.5145971",12.5145971,,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",location of Aqua Appia,aqueduct,,Nusco,,970,"aqueduct,"
"Becker, J., R. Horne","12.5139657, 41.8910054, 12.5139657, 41.8910054",jbecker,Representative location based on OpenStreetMap.,"aqueduct,","{""type"": ""Point"", ""coordinates"": [12.5139657, 41.8910054]}",location-of-aqua-claudia,precise,,640,-30,41.8910054,"41.8910054,12.5139657",12.5139657,,RL,"roman,late-antique","-30.0,640.0",OSM location of Aqua Neroniana,aqueduct,,Olevano sul Tusciano,,670,"aqueduct,"
"Becker, J.","12.5393485, 41.8709452, 12.5393485, 41.8709452",jbecker,Location based on OpenStreetMap,"aqueduct,","{""type"": ""Point"", ""coordinates"": [12.5393485, 41.8709452]}",location-of-aqueduct,precise,representative,640,-330,41.8709452,"41.8709452,12.5393485",12.5393485,,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",OSM location of Acqua Marcia,aqueduct,,Oppido Lucano,,970,"aqueduct,"
"Becker, J., T. Elliott","12.4837635, 41.9026744, 12.4837635, 41.9026744",jbecker,Representative location based on OpenStreetMap,aqueduct,"{""type"": ""Point"", ""coordinates"": [12.4837635, 41.9026744]}",osm-location-of-aqua-virgo,precise,representative,300,-30,41.9026744,"41.9026744,12.4837635",12.4837635,,R,roman,"-30.0,300.0",OSM location of visible section of the Aqua Virgo,aqueduct,1356,Gulf of Salerno,,330,"aqueduct,"
"Becker, J., T. Elliott","13.4869677, 41.6711217, 13.4878774, 41.6715842",jbecker,Location based on OpenStreetMap; dates after Wikipedia.,abbey,"{""type"": ""Polygon"", ""coordinates"": [[[13.4876944, 41.6711217], [13.4875337, 41.6711615], [13.4869677, 41.6713834], [13.4870551, 41.67158], [13.4877198, 41.6715842], [13.4878774, 41.6715452], [13.4878539, 41.6713182], [13.4878028, 41.6712029], [13.4876944, 41.6711217]]]}",osm-location-of-abbazia-di-casamari,precise,representative,2099,1200,41.67138831,"41.671388311,13.4874781261",13.48747813,,TFFSSENTT,"thirteenth-ce,fourteenth-ce,fifteenth-ce,sixteenth-ce,seventeenth-ce,eighteenth-ce,nineteenth-ce,twentieth-ce,twenty-first-ce","1200.0,2099.0",OSM location of the Abbazia di Casamari,abbey,,Palaiokastro/Gerakari,,899,"abbey,"
"Elliott, T.","14.3856605, 41.7383589, 14.3883632, 41.7407622",thomase,Representative polygon location outlining the archaeological area. Coordinates based on OpenStreetMap. Dates after BAtlas.,"architecturalcomplex,sanctuary,","{""type"": ""Polygon"", ""coordinates"": [[[14.387661, 41.7383589], [14.3863283, 41.7387717], [14.3856605, 41.7405373], [14.3856731, 41.7407197], [14.3877703, 41.7407622], [14.3883632, 41.740515], [14.387967, 41.7390568], [14.387661, 41.7383589]]]}",complesso-ellenistico-italico,precise,representative,-30,-550,41.73975348,"41.7397534797,14.387143883",14.38714388,,CH,"classical,hellenistic-republican","-550.0,-30.0",OSM Location of Pietrabbondante Archeaological Area,"architecturalcomplex,sanctuary",,Paralimni,,520,"architecturalcomplex,sanctuary,"
"Becker, J.","13.3750224, 41.7158346, 13.3768124, 41.716455",jbecker,Representative location based on OpenStreetMap.,abbey,"{""type"": ""Polygon"", ""coordinates"": [[[13.3755653, 41.7158346], [13.3751412, 41.7159394], [13.3750224, 41.716316], [13.3760078, 41.7164416], [13.3761356, 41.716455], [13.376776, 41.7163761], [13.3768124, 41.7161879], [13.375803, 41.7158647], [13.3755653, 41.7158346]]]}",osm-location-of-badia-di-san-sebastiano,precise,representative,2100,1700,41.71619044,"41.7161904359,13.3758812037",13.3758812,,M,modern,"1700.0,2100.0",OSM location of Badia di San Sebastiano,abbey,,Koniakos,,400,"abbey,"
"Becker, J.","14.9159226, 41.8058428, 14.9159226, 41.8058428",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [14.9159226, 41.8058428]}",location-of-roman-amphitheater,precise,representative,300,-30,41.8058428,"41.8058428,14.9159226",14.9159226,,R,roman,"-30.0,300.0",location of Roman amphitheater,amphitheatre,550944,BeÅŸika Burnu,,330,"amphitheatre,"
"Elliott, T., J. Becker, A. Morgan, S. Gillies","28.7252760777, 37.7083425061, 28.726280532, 37.7086640354",thomase,,architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[28.72627420145319, 37.7083425060967, 0.0], [28.72528846363038, 37.70847455748434, 0.0], [28.7252760777322, 37.70866403539355, 0.0], [28.72628053202901, 37.70853843442149, 0.0], [28.72627420145319, 37.7083425060967, 0.0]]]}",sebasteion,precise,representative,300,-30,37.70850469,"37.7085046923,28.7257836402",28.72578364,,R,roman,"-30.0,300.0",Sebasteion,architecturalcomplex,,by Thessyris fl.,,330,"architecturalcomplex,"
"Elliott, T.","27.8973334, 42.8543307, 27.9022922, 42.8563658",thomase,Location based on OpenStreetMap. Chronology after FastiOnline using Barrington Atlas period definitions.,architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[27.9020225, 42.8543307], [27.898085, 42.8549678], [27.8977095, 42.8551172], [27.8973334, 42.8555975], [27.8973556, 42.8557859], [27.8974257, 42.8563658], [27.8979536, 42.8563332], [27.9013551, 42.8554759], [27.9015385, 42.8554162], [27.9016565, 42.8553602], [27.9018237, 42.8552684], [27.9021593, 42.8548011], [27.9022922, 42.8545646], [27.9022533, 42.8544636], [27.9020225, 42.8543307]]]}",antichien-komplieks-biala,precise,representative,640,-550,42.85536241,"42.8553624079,27.8995118367",27.89951184,,CHRL,"classical,hellenistic-republican,roman,late-antique","-550.0,640.0",OSM Location of ÐÐ½Ñ‚Ð¸Ñ‡ÐµÐ½ ÐºÐ¾Ð¼Ð¿Ð»ÐµÐºÑ Ð‘ÑÐ»Ð°,architecturalcomplex,,Misimia border,,1190,"architecturalcomplex,"
"Elliott, T.","22.1921, 39.5716, 22.1921, 39.5716",thomase,Representative point location for the walled acropolis of Atrax as determined by ToposText and verified in Google Earth. Dates after BAtlas.,acropolis,"{""type"": ""Point"", ""coordinates"": [22.1921, 39.5716]}",topostext-location,precise,representative,640,-750,39.5716,"39.5716,22.1921",22.1921,,ACHRL,"archaic,classical,hellenistic-republican,roman,late-antique","-750.0,640.0",ToposText Location,acropolis,,"BeyÃ¶zÃ¼, formerly Avkat",,1390,"acropolis,"
"Becker, J.","12.482778, 41.889444, 12.482778, 41.889444",jbecker,verified in Google Earth 2013.,"arch,","{""type"": ""Point"", ""coordinates"": [12.482778, 41.889444]}",location-of-the-arch-of-janus,precise,representative,640,300,41.889444,"41.889444,12.482778",12.482778,,L,late-antique,"300.0,640.0",Imagery location of the Arch of Janus,arch,,Barrington Atlas grid 34 G2,,340,"arch,"
"Becker, J.","1.2583544, 41.1139405, 1.2583544, 41.1139405",jbecker,Representative location of the Roman amphitheater based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [1.2583544, 41.1139405]}",location-of-roman-amphitheater,precise,representative,300,-30,41.1139405,"41.1139405,1.2583544",1.2583544,amphitheater,R,roman,"-30.0,300.0",OSM location of Amfiteatre RomÃ ,amphitheatre,,Barrington Atlas grid 34 B2,,330,"amphitheatre,"
"Becker, J., R. Horne","4.4760982, 43.9837547, 4.4760982, 43.9837547",jbecker,Representative location based on OpenStreetMap.,"aqueduct,","{""type"": ""Point"", ""coordinates"": [4.4760982, 43.9837547]}",location-of-ponte-de-bornegre,precise,representative,300,-30,43.9837547,"43.9837547,4.4760982",4.4760982,,R,roman,"-30.0,300.0",OSM location of Ponte de Bornegre,aqueduct,,Tille,,330,"aqueduct,"
"Becker, J.","0.7689695, 45.8508173, 0.7689695, 45.8508173",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [0.7689695, 45.8508173]}",location-of-roman-amphitheater,precise,representative,300,-30,45.8508173,"45.8508173,0.7689695",0.7689695,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,on limestone massif,,330,"amphitheatre,"
"Becker, J.","9.0847777, 36.4123893, 9.0847777, 36.4123893",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [9.0847777, 36.4123893]}",osm-location-of-roman-amphitheater,precise,representative,300,-30,36.4123893,"36.4123893,9.0847777",9.0847777,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,area around Seleucia,,330,"amphitheatre,"
"Becker, J.","12.7981959, 41.960833, 12.7981959, 41.960833",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [12.7981959, 41.960833]}",osm-location-of-anfiteatro-di-bleso,precise,representative,300,-30,41.960833,"41.960833,12.7981959",12.7981959,,R,roman,"-30.0,300.0",OSM location of Anfiteatro di Bleso,amphitheatre,,DaÄŸpazarÄ±,,330,"amphitheatre,"
"Becker, J.","9.8892003, 36.5277826, 9.8892003, 36.5277826",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [9.8892003, 36.5277826]}",osm-location-of-roman-amphitheater,precise,,300,-30,36.5277826,"36.5277826,9.8892003",9.8892003,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,S. Thekla,,330,"amphitheatre,"
"Vitale, V., J. Becker","14.485323, 40.7491654, 14.485323, 40.7491654",vvitale,Representative location based on OpenStreetMap.,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [14.485323, 40.7491654]}",edificio-di-eumachia,precise,representative,300,-30,40.7491654,"40.7491654,14.485323",14.485323,,R,roman,"-30.0,300.0","OSM location of so-called ""Edificio di Eumachia""",architecturalcomplex,,,,330,"architecturalcomplex,"
"Becker, J.","12.4946815, 41.8913958, 12.4946815, 41.8913958",jbecker,Representative location based on OpenStreetMap.,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [12.4946815, 41.8913958]}",osm-location-esquiline-wing-of-the-domus-aurea,precise,representative,300,-30,41.8913958,"41.8913958,12.4946815",12.4946815,,R,roman,"-30.0,300.0",OSM location of Esquiline wing of the Domus Aurea,architecturalcomplex,661408,"HarmanlÄ±, formerly Pavreli or Pervari",,330,"architecturalcomplex,"
